Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960,COG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1187.90135291423,NaN,NaN,1055693,NaN,333610,31.601
1960,COL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1951.0428767177,NaN,NaN,15687688,NaN,7258379,46.268
1960,COM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194852,NaN,24456,12.551
1960,CPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209849,NaN,35001,16.679
1960,CRI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3558.99068202323,NaN,NaN,1346302,NaN,461162,34.254
1960,CUB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7267395,NaN,4244231,58.401
1960,CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124826,NaN,93258,74.71
1960,CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8473,NaN,8473,100
1960,CYP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,585725,NaN,208682,35.628
1960,CZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9602006,NaN,5717803,59.548
1960,DEU,NaN,NaN,0,NaN,1586.74941529824,1952.58863227169,NaN,NaN,NaN,NaN,72814900,NaN,51978188,71.384
1960,DJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85940,NaN,43249,50.325
1960,DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59379,NaN,22473,37.846
1960,DNK,NaN,NaN,0,NaN,1089.61409973747,1922.97367260874,NaN,18107.3759290293,NaN,NaN,4579603,NaN,3374572,73.687
1960,DOM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1373.82933298111,NaN,NaN,3298021,NaN,995706,30.191
1960,DZA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2106.22856755534,NaN,NaN,11394307,NaN,3476403,30.51
1960,ECU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2529.87134084601,NaN,NaN,4618158,NaN,1564540,33.878
1960,EGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750.812313968461,NaN,NaN,27034499,NaN,10236343,37.864
1960,ERI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,993568,NaN,97360,9.799
1960,ESP,NaN,NaN,0,NaN,494.795600065671,530.664849778361,NaN,6215.03628303374,NaN,NaN,30455000,NaN,17227480,56.567
1960,EST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1211537,NaN,697034,57.533
1960,ETH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21739710,NaN,1398516,6.433
1960,FIN,NaN,NaN,0,NaN,1873.29246614957,2196.95306655132,NaN,11425.2934343628,NaN,NaN,4429634,NaN,2449145,55.29
1960,FJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2151.18479554472,NaN,NaN,401841,NaN,119270,29.681
1960,FRA,NaN,NaN,0,NaN,1461.82436684199,1698.22225016558,NaN,11169.6472407002,NaN,NaN,46649927,NaN,28866975,61.88
1960,FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34154,NaN,7303,21.383
1960,FSM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42986,NaN,9591,22.312
1960,GAB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3304.69163168702,NaN,NaN,513340,NaN,89311,17.398
1960,GBR,NaN,NaN,0,NaN,2412.13740458015,3033.05064885496,NaN,14914.88076112,NaN,NaN,52400000,NaN,41104656,78.444
1960,GEO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3645600,NaN,1570123,43.069
1960,GHA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1107.9887821804,NaN,NaN,6911510,NaN,1607064,23.252
1960,GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21822,NaN,21822,100
1960,GIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3516814,NaN,368281,10.472
1960,GMB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,399649,NaN,48473,12.129
1960,GNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,577933,NaN,78599,13.6
1960,GNQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,267351,NaN,68273,25.537
1960,GRC,NaN,NaN,0,NaN,241.726653244076,289.057068014127,NaN,5030.74356154496,NaN,NaN,8331725,NaN,4660434,55.936
1960,GRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93772,NaN,28443,30.332
1960,GRL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32500,NaN,19024,58.534
1960,GTM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1854.78966546519,NaN,NaN,4128880,NaN,1284949,31.121
1960,GUM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72374,NaN,36293,50.147
1960,GUY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2720.06988750832,NaN,NaN,571990,NaN,165929,29.009
1960,HKG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3114671,NaN,2653700,85.2
1960,HND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1197.05629017339,NaN,NaN,2078617,NaN,472823,22.747
1960,HRV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4140181,NaN,1248430,30.154
1960,HTI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1716.03759141812,NaN,NaN,3901139,NaN,608305,15.593
1960,HUN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9983967,NaN,5582136,55.911
1960,IDN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,597.147402861471,NaN,NaN,88382881,NaN,12891527,14.586
1960,IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48793,NaN,26896,55.123
1960,IND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,305.789255646357,NaN,NaN,445954579,NaN,79932899,17.924
1960,INX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 
1960,IRL,NaN,NaN,0,NaN,695.043484409248,1318.81248674256,NaN,NaN,NaN,NaN,2828600,NaN,1278075,45.184
1960,IRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2348.42991669003,NaN,NaN,21388806,NaN,7215514,33.735
1960,IRQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7084678,NaN,3039256,42.899
1960,ISL,NaN,NaN,0,NaN,2614.28229692323,3082.71156321551,NaN,NaN,NaN,NaN,175574,NaN,140986,80.3
1960,ISR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2114020,NaN,1624582,76.848
1960,ITA,NaN,NaN,2112000000,NaN,975.02574716582,794.816044717399,NaN,9687.64700624044,NaN,NaN,50199700,NaN,29799044,59.361
1960,JAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1642331,NaN,554599,33.769
1960,JOR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,847936,NaN,431421,50.879
1960,JPN,NaN,NaN,0,NaN,1101.74219018194,867.20309818057,NaN,6260.67597027094,NaN,NaN,93216000,NaN,58979628,63.272
1960,KAZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9319283,NaN,4118937,44.198
1960,KEN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,787.216222972031,NaN,NaN,7751435,NaN,570661,7.362
1960,KGZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2172300,NaN,742514,34.181
1960,KHM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5541676,NaN,569961,10.285
1960,KIR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47093,NaN,7671,16.29
1960,KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56660,NaN,15663,27.644
1960,KOR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1027.46853843186,NaN,NaN,25012374,NaN,6930929,27.71
1960,KWT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,305415,NaN,228734,74.893
1960,LAO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2122532,NaN,168656,7.946
1960,LBN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1798092,NaN,761366,42.343
1960,LBR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1137026,NaN,211851,18.632
1960,LBY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1426986,NaN,389895,27.323
1960,LCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91614,NaN,19660,21.46
1960,LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16472,NaN,3366,20.437
1960,LKA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9783871,NaN,1607588,16.431
1960,LSO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262.282754628613,NaN,NaN,737838,NaN,25913,3.512
1960,LTU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2778550,NaN,1096416,39.46
1960,LUX,NaN,NaN,0,NaN,4548.2052425391,10523.4066949072,NaN,25520.1824340318,NaN,NaN,313970,NaN,218385,69.556
1960,LVA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2120979,NaN,1121298,52.867
1960,MAC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177014,NaN,168675,95.289
1960,MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4135,NaN,NaN, 
1960,MAR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11769774,NaN,3455253,29.357
1960,MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21797,NaN,21797,100
1960,MDA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2074015,NaN,485817,23.424
1960,MDG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,818.284112203238,NaN,NaN,5073342,NaN,539905,10.642
1960,MDV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91650,NaN,10240,11.173
1960,MEX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3897.09204356451,NaN,NaN,36268055,NaN,18407126,50.753
